,date,as_asm,as_rpm,as_flight,as_eff,as_pass,g4_asm,g4_rpm,g4_flight,g4_eff,g4_pass,aa_asm,aa_rpm,aa_flight,aa_eff,aa_pass,dl_asm,dl_rpm,dl_flight,dl_eff,dl_pass,mq_asm,mq_rpm,mq_flight,mq_eff,mq_pass,ev_asm,ev_rpm,ev_flight,ev_eff,ev_pass,f9_asm,f9_rpm,f9_flight,f9_eff,f9_pass,ha_asm,ha_rpm,ha_flight,ha_eff,ha_pass,b6_asm,b6_rpm,b6_flight,b6_eff,b6_pass,oo_asm,oo_rpm,oo_flight,oo_eff,oo_pass,wn_asm,wn_rpm,wn_flight,wn_eff,wn_pass,nk_asm,nk_rpm,nk_flight,nk_eff,nk_pass,ua_asm,ua_rpm,ua_flight,ua_eff,ua_pass
15,2004-04,1498949,1060642,13176,70.76,84.42994839101397,49599,36478,340,73.55,116.73823529411764,9745423,7412197,58345,76.06,106.43151941040364,8170122,6064842,57034,74.23,117.42220429918996,643088,441612,38288,68.67,30.565529669870454,522202,357385,22459,68.44,35.632085132908855,626375,449707,5403,71.8,86.93577642050712,575781,490652,4006,85.22,115.67548676984524,1488126,1283537,7426,86.25,133.31147320226233,538200,386060,34990,71.73,27.5707916547585,6150773,4689118,79876,76.24,89.08352947067955,542488,407427,3565,75.1,108.49172510518935,7571578,6005299,45207,79.31,111.09060543721105
16,2004-05,1632439,1130790,14048,69.27,82.15297551252847,54846,36677,368,66.87,107.78260869565217,9666776,7168145,58058,74.15,104.73590202900547,8319449,6109087,58122,73.43,116.24808162141701,653489,457716,38337,70.04,31.30331011816261,548116,380741,23382,69.46,36.41664528269609,697338,461005,5705,66.11,83.44241893076249,543246,469834,4024,86.49,112.67867793240556,1567319,1282061,7334,81.8,128.38437414780475,556664,406633,35933,73.05,28.060696295884007,6340534,4681633,81437,73.84,87.66425580510088,513650,392293,3283,76.37,110.1699664940603,7779495,6085232,46183,78.22,110.87105644934283
17,2004-06,1756423,1344084,14600,76.52,92.72150684931506,51502,39576,333,76.84,124.27327327327328,9763164,7830261,58002,80.2,112.41298575911175,8277422,6745778,57390,81.5,125.92970900853807,662453,489852,38443,73.95,33.18213979137944,539522,408932,22878,75.8,39.37551359384562,735743,577903,6005,78.55,97.02098251457119,550712,500266,4188,90.84,115.04847182425979,1574350,1353492,7275,85.97,132.9740206185567,578484,455338,37180,78.71,30.209817105970952,6286798,4956418,81100,78.84,90.91612823674475,519057,405905,3312,78.2,112.25875603864735,7972985,6736985,47229,84.5,118.66444345635097
18,2004-07,1865296,1478938,15454,79.29,95.66254691342047,60069,48418,373,80.6,130.32171581769438,9979086,8170618,58843,81.88,114.15658616997774,8467006,7128122,58209,84.19,128.26002851792677,697086,514184,39884,73.76,33.01750075218133,574791,439857,24267,76.52,39.667820496971196,804824,657331,6593,81.67,100.75458819960565,595402,544770,4526,91.5,115.92951833848873,1666708,1471967,7725,88.32,138.07443365695792,640271,496438,40056,77.54,30.50202216896345,6547405,5197468,83700,79.38,91.04904420549582,572422,484437,3720,84.63,119.77956989247312,8323849,7045245,49445,84.64,117.97075538477095
19,2004-08,1854688,1461554,15401,78.8,95.84987987793001,65827,47189,423,71.69,114.274231678487,10010638,7909314,58920,79.01,108.72012898845892,8463957,6720924,58254,79.41,119.99203488172486,711464,489149,40632,68.75,31.12189899586533,590331,411942,24732,69.78,36.56647258612324,768506,582198,6326,75.76,92.7867530825166,594286,539563,4465,90.79,113.41612541993281,1675987,1495872,7738,89.25,138.95851641250968,663036,510992,41616,77.07,30.365532487504804,6643194,4986682,84944,75.06,86.61817197212281,537021,452893,3450,84.33,120.70231884057971,8433301,6996836,50306,82.97,115.65797320399157
20,2004-09,1608373,1110985,13656,69.08,84.326230228471,65313,46893,425,71.8,112.49882352941177,8704450,6353111,52464,72.99,101.46090652638,7645424,5266401,52800,68.88,105.91825757575758,704956,475332,39852,67.43,30.829142828465322,563169,368491,23247,65.43,34.56493310964856,676625,448081,5622,66.22,82.002845962291,519238,466036,3842,89.75,106.1697032795419,1550795,1137904,6908,73.38,118.94803126809497,645697,484137,40283,74.98,29.554278479755727,6299602,3981300,80357,63.2,76.2130617121097,366676,287379,2483,78.37,103.52275473217881,7538654,5621649,45137,74.57,106.42678955180894
21,2004-10,1587773,1096697,13534,69.07,83.40727057780406,76341,57442,486,75.24,114.38477366255144,9335118,7124411,56305,76.32,107.21097593464168,8325119,6127967,57833,73.61,116.18382238514343,742689,523768,41366,70.52,32.09800319102645,606705,438407,24872,72.26,38.65853168221293,677581,517153,5804,76.32,92.16609235010338,523713,472799,3876,90.28,111.2719298245614,1653072,1380535,7856,83.51,129.6766802443992,663530,495259,40906,74.64,29.550457145651006,6761369,4504693,85083,66.62,80.9999059741664,419362,340171,2840,81.12,116.92464788732394,7758257,5975110,46690,77.02,109.21949025487257
22,2004-11,1485611,1096342,12701,73.8,90.20919612628927,72941,54504,479,74.72,112.55949895615866,9121793,6819002,54869,74.76,106.00876633436002,8100939,5960217,55673,73.57,117.37768756848023,715658,488314,39374,68.23,30.888047950424138,567697,407243,24219,71.74,38.34757834757835,643057,482863,5465,75.09,90.93961573650503,538697,475476,3849,88.26,111.77396726422447,1610581,1359569,7871,84.41,130.77652140769914,647600,471860,38932,72.86,29.265694030617485,6559565,4293323,81138,65.45,81.74464492592867,553565,386413,3299,69.8,113.80206123067596,6980214,5331061,42781,76.37,107.57710198452584
23,2004-12,1544314,1180814,13096,76.46,93.02695479535736,79332,59166,527,74.58,112.37950664136622,9631591,7202828,57650,74.78,106.15753686036426,8228768,6080286,56593,73.89,116.36488611665753,748415,499783,41220,66.78,30.21188743328481,574520,400709,24735,69.75,36.965959167172024,703101,523121,5953,74.4,90.24273475558542,563643,486772,4013,86.36,106.46224769499128,1722826,1418463,8433,82.33,127.19435550812285,663070,484076,40091,73.01,29.1316006086154,6902921,4339381,85555,62.86,77.38322716381275,564286,420111,3715,74.45,107.4449528936743,7309420,5661346,43953,77.45,108.78395103860943
24,2005-01,1502753,1018764,12796,67.79,81.59049703032197,71032,53448,476,75.24,107.82352941176471,9283530,6809753,55726,73.35,103.7433334529663,8053243,5810566,54831,72.15,112.7312286845033,726158,449303,39995,61.87,28.212451556444556,547499,353643,24020,64.59,34.11323896752706,670111,471876,5775,70.42,83.76969696969697,551817,468927,3967,84.98,107.51651121754475,1721582,1401907,8227,81.43,128.16676795915888,660443,472497,39602,71.54,28.31637291045907,6819544,4005174,84320,58.73,71.56586812144212,526512,401070,3513,76.17,107.62339880444065,6719736,5062527,40487,75.34,104.4765727270482
25,2005-02,1388980,972350,11770,70.0,84.9160577740017,65409,55455,429,84.78,123.68298368298369,8615346,6365427,51555,73.88,106.18601493550577,7789674,5606251,54023,71.97,111.7607685615386,707669,460324,38855,65.05,29.811916098314246,572817,400255,22212,69.87,37.41788222582388,583950,446552,5134,76.47,90.63167121153097,511313,442071,3618,86.46,117.37949143173024,1580359,1320270,7827,83.54,129.3452152804395,647340,466902,37891,72.13,29.407933282309784,6311432,3997623,77736,63.34,78.19526345579912,520653,378495,3481,72.7,103.62826773915542,6162569,4672709,36947,75.82,105.75056161528676
26,2005-03,1553329,1215724,13065,78.27,94.60681209337926,76482,68630,510,89.73,130.60980392156864,9753725,7964044,58185,81.65,117.47675517745124,8631773,6993262,59503,81.02,125.23005562744736,799717,564294,43596,70.56,32.16641434994036,653926,492683,25579,75.34,39.64494311740099,711760,593466,6152,83.38,76.38231469440832,542360,481266,3983,88.74,122.02209389907105,1833367,1634834,9110,89.17,138.66739846322722,777564,587558,44005,75.56,30.961867969548916,7106615,5236541,87097,73.69,88.03661434951836,549746,477493,3618,86.86,126.10060807075732,6931508,5742017,40525,82.84,116.60417026526835
27,2005-04,1495429,1156074,12534,77.31,93.37569810116483,74190,65638,499,88.47,127.74549098196393,9313712,7435692,55573,79.84,115.47362928040596,8342196,6399972,57192,76.72,119.81434466358931,796332,567551,42852,71.27,32.320428451414166,644232,464396,25310,72.09,38.49332279731331,638742,518575,5655,81.19,95.44809902740937,556803,486683,3924,87.41,113.46585117227319,1842675,1601743,9202,86.92,133.2208215605303,769220,560553,42093,72.87,30.233625543439526,6962595,4807554,84345,69.05,84.47782322603592,533464,419068,3538,78.56,114.23544375353308,6545082,5312927,38477,81.17,113.98544585076799
28,2005-05,1555073,1203336,12522,77.38,95.0606931800032,89868,76518,594,85.14,123.63973063973064,9598325,7700682,57145,80.23,117.09948376935866,8644347,6563739,58405,75.93,118.46276859857889,844613,615887,44935,72.92,33.247246022031824,676531,492877,26925,72.85,38.437177344475394,708407,574454,6287,81.09,95.16812470176555,586435,519532,4066,88.59,114.73880964092474,1942236,1683783,8901,86.69,133.39467475564544,801047,588752,43370,73.5,30.601106755822,7244760,5241698,87625,72.35,88.72085592011412,422435,356337,2864,84.35,119.67039106145252,6923464,5715640,40666,82.55,116.7841931834948
29,2005-06,1688237,1364026,13417,80.8,100.7120816874115,121136,102921,808,84.96,123.64108910891089,9683825,8224043,56984,84.93,124.05282184472834,8444540,6952172,55511,82.33,127.04763019941994,838509,645534,43736,76.99,34.89496067312969,653798,500559,25977,76.56,40.14320360318744,722616,626289,6442,86.67,102.30394287488357,596183,529844,4153,88.87,118.31350830724777,1993658,1771442,8892,88.85,137.18477282950968,812662,640255,42917,78.78,32.81515483374886,7133855,5432516,86364,76.15,91.22102959566486,424078,362314,2913,85.44,119.98111912118091,7059521,6233408,40624,88.3,124.37384304844427
30,2005-07,1738634,1436427,14251,82.62,102.29345309101116,123395,93624,808,75.87,110.11014851485149,10051042,8671965,59168,86.28,124.48747633856138,8721019,7478734,56553,85.76,130.71384365108835,856062,647842,44019,75.68,34.235875417433384,671643,515103,26500,76.69,39.80566037735849,808465,704201,7119,87.1,103.51987638713302,630823,578458,4435,91.7,120.65163472378805,2147931,1948206,9507,90.7,141.47112653834017,836492,659437,43570,78.83,32.76986458572412,7379498,5960400,88481,80.77,95.88434805212418,489264,416775,3326,85.18,121.68250150330728,7320172,6398312,41718,87.41,122.5732537513783
31,2005-08,1743556,1430060,14263,82.02,102.84673631073407,122290,89124,780,72.88,107.21410256410256,9783599,8044404,58124,82.22,116.44382699057188,8705676,7140574,56616,82.02,123.14117917196552,893802,634920,45303,71.04,32.317506566894025,682655,505074,26582,73.99,38.20976600707245,777427,640680,6931,82.41,97.06564709277161,631339,588740,4411,93.25,118.30197234187258,2180207,1954303,9522,89.64,139.6075404326822,854717,657557,44714,76.93,32.213490182045895,7456473,5671942,89712,76.07,90.57517388978063,424358,360410,2915,84.93,120.89433962264151,7266834,6176000,41723,84.99,118.98324665052849
32,2005-09,1598036,1168620,13021,73.13,91.89447815067967,119261,88767,740,74.43,110.04729729729729,8826889,6841868,52814,77.51,111.7669746658083,7657245,5601580,48208,73.15,115.96421755725191,862792,607423,43488,70.4,32.426002575423105,654439,469924,25366,71.81,37.62820310652054,717929,543058,6474,75.64,88.32777262897744,576793,520915,3982,90.31,115.12606730286288,1938673,1499977,8575,77.37,120.61679300291546,827804,610113,42485,73.7,31.359562198422974,7031849,4734562,83745,67.33,83.42141023344678,321919,247800,2186,76.98,109.84354986276304,6644817,5251781,39059,79.04,111.06328887068281
33,2005-10,1606928,1129873,13116,70.31,87.09644708752668,128582,103894,816,80.8,117.74632352941177,8882582,7130337,53325,80.27,116.37817158931082,7882137,5688900,49981,72.17,115.8650887337188,879779,647111,44284,73.55,33.75914551531027,671789,489411,26187,72.85,38.172108298010464,741655,562666,6719,75.87,90.43161184700104,582748,532486,4047,91.38,117.51643192488262,2014038,1580886,9134,78.49,122.07422815852857,864619,651241,44473,75.32,32.32945832302745,7316987,5147509,87122,70.35,86.81853033676913,317671,255911,2210,80.56,112.75972850678733,6865427,5558379,40481,80.96,113.8438032657296
34,2005-11,1498064,1127934,12304,75.29,93.21106957087126,138946,107957,877,77.7,114.10034207525656,8951655,7250039,53344,80.99,118.7254799040192,7558117,5620285,47534,74.36,120.53374426726133,839322,621533,42340,74.05,33.71332073689183,650416,486302,25149,74.77,39.25559664400175,709288,554120,6406,78.12,92.6550109272557,569389,516676,3969,90.74,119.91358024691358,2062441,1687431,10155,81.82,125.73806006893156,808679,601856,42490,74.42,32.017933631442695,7051185,4998833,84104,70.89,88.0593788642633,368196,274943,2534,74.67,102.85477505919495,6667026,5318121,39500,79.77,113.04589873417721
35,2005-12,1559828,1180187,12772,75.66,92.6836047604134,178700,137480,1124,76.93,113.21886120996442,9190202,7398547,54072,80.5,118.6481728066282,7306966,5532042,44871,75.71,122.62545965099953,863468,628116,43151,72.74,32.79059581469723,627401,482230,23407,76.86,40.43721963515188,762769,574110,6814,75.27,89.94173759906076,607061,545775,4117,89.9,118.95700752975468,2195717,1825691,11127,83.15,125.73496899433809,788395,615546,42003,78.08,33.139990000714235,7383104,4994635,88152,67.65,82.31004401488339,396979,303786,2795,76.52,100.78389982110912,7015355,5602902,40621,79.87,113.57691834272913
36,2006-01,1531160,1030286,12572,67.29,81.25047725103404,191115,148087,1206,77.49,113.82089552238806,9250645,7042279,54210,76.13,111.98074156059768,6991072,5165378,44210,73.89,117.13248133906356,880759,589104,43796,66.89,30.118001643985753,616846,456492,23082,74.0,38.874360973919075,754783,523474,6902,69.35,82.52607939727615,593016,523049,4180,88.2,113.62655502392344,2141250,1765673,11024,82.46,122.8777213352685,809885,605952,42368,74.82,31.660592900302113,7507719,4759328,89547,63.39,76.60892045517996,427340,332395,2867,77.78,114.45099407045693,6792577,5210563,39616,76.71,108.14600161550888
37,2006-02,1398584,1015301,11397,72.59,88.7135211020444,191780,154057,1206,80.33,117.13847429519072,8290765,6492132,48771,78.31,115.84183223636997,6253806,4758339,39463,76.09,122.46258520639586,793547,563875,39371,71.06,32.26704935104519,579347,451120,21393,77.87,41.26288973028561,677918,521334,6253,76.9,91.08971693587078,526896,475497,3772,90.24,119.29798515376459,1979796,1653438,10372,83.52,124.90474354030081,777656,602116,39783,77.43,33.56808184400372,6850387,4689999,81336,68.46,83.82828022032065,377734,324267,2674,85.85,112.38780852655198,6383274,4991165,37062,78.19,110.99066429226701
38,2006-03,1593802,1249308,12946,78.39,95.0970956279932,223937,193408,1392,86.37,126.51795977011494,9424489,7881341,55481,83.63,124.30563616373173,7382389,6030385,45366,81.69,131.9053917030375,880844,663196,43890,75.29,33.94761904761905,667240,552786,24280,82.85,43.83356672158155,769673,662315,7020,86.05,102.22150997150997,581798,523777,4155,90.03,121.03417569193742,2331015,2018912,12387,86.61,128.60030677323,896980,735512,45406,82.0,35.53497335153944,7723677,5832625,91567,75.52,91.04948289230836,450361,411061,3268,91.27,117.40820073439413,7248165,6074339,41874,83.81,119.60082628838897
39,2006-04,1547705,1215157,12630,78.51,95.13547110055424,207519,169430,1318,81.65,117.74810318664643,9087020,7672135,53271,84.43,124.13476375513882,7029226,5476931,42586,77.92,125.86185600901705,884688,669183,44556,75.64,33.96918484603645,629151,486550,23318,77.33,41.527489493095466,753153,647574,6889,85.98,101.05414428799536,570189,505071,4073,88.58,116.83329241345446,2319725,1986989,12535,85.66,124.86685281212604,879582,697948,43838,79.35,34.41464026643551,7471419,5734094,88619,76.75,91.74938782879518,426530,371527,3131,87.1,112.75503034174385,7012330,5897093,40349,84.1,119.85325534709658
40,2006-05,1677858,1294314,13414,77.14,94.43193678246608,188233,151444,1236,80.46,115.63430420711974,9401853,7842874,55002,83.42,123.69268390240354,6794639,5146193,41606,75.74,123.70441763207229,913218,717741,46025,78.59,35.53223248234655,653912,521411,23968,79.74,42.627378170894524,842783,704466,7709,83.59,99.6428849396809,586900,527133,4189,89.82,117.77345428503223,2351598,1860201,12014,79.1,115.33777259863493,915632,747555,45771,81.64,35.28450328810819,7762000,5959988,91855,76.78,92.41737521093027,343374,304886,2708,88.79,110.23596750369276,7236285,6059573,42131,83.74,119.39422278132491
41,2006-06,1774704,1451437,13897,81.78,101.67993092034251,213804,183073,1436,85.63,124.64345403899722,9152613,8005693,53404,87.47,129.43318852520412,7023569,5968657,41545,84.98,135.31710193765795,891825,732212,44857,82.1,37.11844305236641,643813,536470,23377,83.33,44.00718655088335,843378,748290,7680,88.73,106.204296875,605218,535875,4430,88.54,118.83498871331828,2381619,1957475,12188,82.19,119.78757794552018,923028,782533,45857,84.78,36.4759142551846,7653128,6151375,90475,80.38,96.01681127383254,398929,331516,2810,83.1,122.60462633451958,7323341,6387878,41610,87.23,125.6439557798606
42,2006-07,1859552,1543717,14514,83.02,103.05429240733085,225153,195537,1533,86.85,126.87018917155903,9350637,8277155,54287,88.52,129.51638513824673,7278404,6348220,42284,87.22,137.18562576861225,916886,730241,46064,79.64,35.839853247655434,678515,559779,24852,82.5,43.19636246579752,891878,802272,8280,89.95,106.89867149758454,643849,583618,4799,90.65,116.85080225046885,2562161,2149171,13819,83.88,120.92937260293799,967499,804452,47197,83.15,36.21336101870882,7963876,6330623,93312,79.49,93.91919581618656,421325,378572,3164,89.85,113.62673830594184,7560104,6625071,42593,87.63,125.21235883830677
43,2006-08,1870952,1512930,14612,80.86,101.99411442649877,208858,163813,1431,78.43,114.25856044723969,9363836,7739014,54654,82.65,118.94778058330589,7291954,5953651,42765,81.65,126.87782064772594,925000,695932,46663,75.24,33.922036731457474,693455,515275,25406,74.31,38.76245768716051,899128,750353,8380,83.45,97.89128878281623,641060,563264,4764,87.86,113.18031066330815,2583217,2162115,14321,83.7,117.19705327840235,955031,774503,47656,81.1,34.916799563538696,8091256,6241206,95199,77.14,90.94489437914264,413019,359134,3130,86.95,107.72651757188498,7630131,6292118,43619,82.46,116.76544625048717
44,2006-09,1671371,1242360,13180,74.33,92.97261001517451,168601,122614,1162,72.72,104.68244406196213,8633028,6576768,50982,76.18,111.26660389941549,6368923,4733617,39315,74.32,117.61861884776803,881639,624107,43853,70.79,32.395617175563814,609825,426277,22199,69.9,36.62340645975044,842170,595981,7920,70.77,83.75757575757575,608353,508280,4403,83.55,107.87826481944128,2210292,1609237,13021,72.81,99.4196298287382,915901,711905,44416,77.73,34.231132925072046,7733114,5196914,90528,67.2,82.39434208200778,360005,275797,2796,76.61,94.92453505007153,6855865,5352700,40264,78.07,110.7779405920922
